§s_index§start§end
SEQ_001§843§01:24:02,209§01:24:05,269
SEQ_001§844§01:24:05,380§01:24:07,007
SEQ_001§845§01:24:08,917§01:24:11,249
SEQ_001§846§01:24:11,987§01:24:15,388
SEQ_001§847§01:24:18,860§01:24:23,524
SEQ_001§848§01:24:25,200§01:24:26,929
SEQ_001§849§01:24:27,702§01:24:29,397
SEQ_001§850§01:24:31,940§01:24:34,067
SEQ_001§851§01:24:34,176§01:24:36,667
SEQ_001§852§01:24:37,712§01:24:38,940
SEQ_001§853§01:24:40,614§01:24:42,241
SEQ_001§854§01:24:44,252§01:24:45,913
SEQ_001§855§01:24:47,588§01:24:48,612
SEQ_001§856§01:24:51,792§01:24:52,690
SEQ_001§857§01:24:52,793§01:24:54,988
SEQ_001§858§01:25:00,735§01:25:02,532
SEQ_002§534§00:55:10,745§00:55:12,508
SEQ_002§535§00:55:13,514§00:55:15,914
SEQ_002§536§00:55:16,017§00:55:19,453
SEQ_002§537§00:55:19,553§00:55:22,317
SEQ_002§538§00:55:22,424§00:55:24,984
SEQ_002§539§00:55:25,093§00:55:28,494
SEQ_002§540§00:55:28,596§00:55:30,655
SEQ_002§541§00:55:30,765§00:55:33,700
SEQ_003§1258§01:36:49,880§01:36:52,678
SEQ_003§1259§01:36:52,960§01:36:55,474
SEQ_003§1260§01:36:56,520§01:36:58,033
SEQ_003§1261§01:36:58,320§01:37:00,993
SEQ_003§1262§01:37:01,800§01:37:03,233
SEQ_003§1263§01:37:04,240§01:37:06,754
SEQ_004§1491§01:27:04,565§01:27:05,235
SEQ_004§1492§01:27:05,525§01:27:06,475
SEQ_004§1493§01:27:06,765§01:27:09,035
SEQ_004§1494§01:27:10,325§01:27:12,835
SEQ_004§1495§01:27:14,925§01:27:18,115
SEQ_004§1496§01:27:18,365§01:27:21,155
SEQ_004§1497§01:27:21,405§01:27:22,275
SEQ_004§1498§01:27:22,565§01:27:24,945
SEQ_004§1499§01:27:25,245§01:27:27,155
SEQ_004§1500§01:27:27,405§01:27:30,715
SEQ_004§1501§01:27:30,965§01:27:32,755
SEQ_004§1502§01:27:33,045§01:27:34,555
SEQ_004§1503§01:27:34,805§01:27:36,635
SEQ_005§522§00:27:18,486§00:27:20,808
SEQ_005§523§00:27:20,968§00:27:23,890
SEQ_005§524§00:27:24,291§00:27:26,069
SEQ_005§525§00:27:26,070§00:27:27,814
SEQ_005§526§00:27:27,975§00:27:29,897
SEQ_005§527§00:27:29,898§00:27:31,819
SEQ_005§528§00:27:32,059§00:27:35,542
SEQ_005§529§00:27:35,943§00:27:38,745
SEQ_005§530§00:27:38,825§00:27:40,948
SEQ_005§531§00:27:41,108§00:27:43,470
SEQ_005§532§00:27:44,351§00:27:46,873
SEQ_005§533§00:27:47,074§00:27:48,875
SEQ_005§534§00:27:49,075§00:27:51,517
SEQ_005§535§00:27:51,518§00:27:52,959
SEQ_005§536§00:27:52,960§00:27:54,100
SEQ_005§537§00:27:54,360§00:27:57,324
SEQ_005§538§00:27:57,964§00:28:00,246
SEQ_005§539§00:28:02,448§00:28:04,811
SEQ_005§540§00:28:05,691§00:28:07,053
SEQ_005§541§00:28:07,054§00:28:08,414
SEQ_005§542§00:28:09,615§00:28:12,258
SEQ_005§543§00:28:12,698§00:28:14,980
SEQ_005§544§00:28:15,582§00:28:17,544
SEQ_005§545§00:28:19,626§00:28:22,187
SEQ_005§546§00:28:22,388§00:28:25,150
SEQ_005§547§00:28:25,351§00:28:28,394
SEQ_005§548§00:28:28,954§00:28:31,476
SEQ_005§549§00:28:31,838§00:28:34,800
SEQ_006§337§00:33:59,140§00:34:02,871
SEQ_006§338§00:34:02,978§00:34:06,880
SEQ_006§339§00:34:08,015§00:34:10,779
SEQ_006§340§00:34:17,324§00:34:20,122
SEQ_006§341§00:34:21,263§00:34:22,730
SEQ_007§968§01:34:44,600§01:34:49,600
SEQ_007§969§01:34:49,600§01:34:50,600
SEQ_007§970§01:34:53,600§01:34:56,600
SEQ_007§971§01:34:58,600§01:34:59,600
SEQ_007§972§01:35:00,600§01:35:04,600
SEQ_007§973§01:35:05,600§01:35:09,600
SEQ_007§974§01:35:09,600§01:35:13,600
SEQ_007§975§01:35:14,600§01:35:15,600
SEQ_007§976§01:35:17,600§01:35:19,600
SEQ_007§977§01:35:19,600§01:35:25,600
SEQ_008§828§01:22:58,080§01:22:59,741
SEQ_008§829§01:23:05,887§01:23:07,855
SEQ_008§830§01:23:07,955§01:23:11,254
SEQ_008§831§01:23:11,359§01:23:14,851
SEQ_008§832§01:23:14,962§01:23:18,898
SEQ_008§833§01:23:19,000§01:23:22,527
SEQ_008§834§01:23:23,305§01:23:25,773
SEQ_008§835§01:23:27,509§01:23:29,534
SEQ_008§836§01:23:29,644§01:23:31,942
SEQ_008§837§01:23:33,515§01:23:34,413
SEQ_008§838§01:23:34,516§01:23:36,450
SEQ_008§839§01:23:39,988§01:23:42,013
SEQ_008§840§01:23:42,757§01:23:45,055
SEQ_008§841§01:23:45,160§01:23:46,627
SEQ_008§842§01:23:49,029§01:23:50,963
SEQ_009§710§00:53:46,367§00:53:49,757
SEQ_009§711§00:53:50,887§00:53:53,560
SEQ_009§712§00:53:53,727§00:53:54,876
SEQ_009§713§00:53:55,047§00:53:57,766
SEQ_009§714§00:53:58,887§00:54:01,321
SEQ_009§715§00:54:01,927§00:54:06,443
SEQ_010§100§00:12:37,491§00:12:39,516
SEQ_010§101§00:12:39,627§00:12:43,222
SEQ_010§84§00:11:40,667§00:11:42,294
SEQ_010§85§00:11:44,272§00:11:47,264
SEQ_010§86§00:11:47,375§00:11:50,242
SEQ_010§87§00:11:50,344§00:11:52,972
SEQ_010§88§00:11:53,080§00:11:54,707
SEQ_010§89§00:11:54,816§00:11:57,751
SEQ_010§90§00:11:57,852§00:12:00,252
SEQ_010§91§00:12:01,088§00:12:02,749
SEQ_010§92§00:12:02,857§00:12:06,088
SEQ_010§93§00:12:08,461§00:12:12,022
SEQ_010§94§00:12:14,568§00:12:18,299
SEQ_010§95§00:12:19,473§00:12:24,206
SEQ_010§96§00:12:25,313§00:12:27,679
SEQ_010§97§00:12:27,782§00:12:29,807
SEQ_010§98§00:12:29,917§00:12:32,852
SEQ_010§99§00:12:32,953§00:12:35,945
SEQ_011§883§01:03:21,753§01:03:22,670
SEQ_011§884§01:03:22,944§01:03:25,587
SEQ_011§885§01:03:27,053§01:03:28,199
SEQ_011§886§01:03:28,743§01:03:30,348
SEQ_011§887§01:03:31,162§01:03:32,505
SEQ_011§888§01:03:33,198§01:03:35,656
SEQ_011§889§01:03:35,886§01:03:37,491
SEQ_011§890§01:03:38,190§01:03:39,293
SEQ_011§891§01:03:42,031§01:03:43,254
SEQ_011§892§01:03:43,490§01:03:46,056
SEQ_011§893§01:03:46,716§01:03:49,436
SEQ_011§894§01:03:50,825§01:03:52,398
SEQ_011§895§01:03:52,937§01:03:54,587
SEQ_011§896§01:03:55,626§01:03:58,236
SEQ_011§897§01:03:58,698§01:04:00,500
SEQ_011§898§01:04:01,310§01:04:02,992
SEQ_011§899§01:04:03,959§01:04:04,909
SEQ_011§900§01:04:06,264§01:04:07,334
SEQ_011§901§01:04:08,030§01:04:09,712
SEQ_011§902§01:04:10,143§01:04:12,436
SEQ_011§903§01:04:13,714§01:04:14,817
SEQ_011§904§01:04:15,174§01:04:18,199
SEQ_011§905§01:04:18,476§01:04:20,693
SEQ_011§906§01:04:21,625§01:04:23,275
SEQ_011§907§01:04:23,853§01:04:25,458
SEQ_011§908§01:04:25,927§01:04:29,990
SEQ_011§909§01:04:30,228§01:04:32,183
SEQ_011§910§01:04:32,609§01:04:33,450
SEQ_011§911§01:04:34,798§01:04:36,064
SEQ_011§912§01:04:38,139§01:04:39,362
SEQ_011§913§01:04:40,328§01:04:41,399
SEQ_011§914§01:04:43,631§01:04:44,395
SEQ_012§109§00:13:31,012§00:13:33,480
SEQ_012§110§00:13:33,581§00:13:35,742
